Counter,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,label
2,0.43,-0.01,0.91,0.31,3.85,0.67,34.27,29.61,-26.67,idle
2,0.43,-0.04,0.89,-1.53,0.67,1.46,34.63,29.82,-26.98,idle
2,0.43,-0.01,0.9,-1.71,2.26,0.55,34.03,29.31,-27.06,idle
2,0.44,-0.01,0.92,-2.2,3.6,0.18,34.31,29.66,-26.83,idle
2,0.43,-0.01,0.88,-4.21,3.66,0.37,34.33,29.71,-26.68,idle
2,0.44,0.02,0.94,-2.01,16.72,-1.28,34.35,30.03,-27.15,idle
2,0.45,-0.06,0.86,-0.06,1.59,0.43,34.66,29.96,-26.31,idle
2,0.45,0,0.89,0.79,1.65,0.85,33.92,30.26,-26.65,idle
2,0.44,-0.05,0.84,0.24,4.15,-1.1,34.36,29.48,-26.31,idle
2,0.46,0.02,0.91,0.92,0.43,2.75,34.06,29.98,-26.21,idle
2,0.44,-0.04,0.93,0.73,-0.98,0.37,34.19,30.2,-26.42,idle
2,0.45,-0.01,0.89,1.04,1.34,0.12,34.41,30.22,-25.76,idle
2,0.45,-0.02,0.87,1.71,0.67,0.49,34.3,30.16,-26.61,idle
2,0.44,-0.01,0.87,2.81,1.89,-0.06,34.62,30.68,-26.38,idle
2,0.45,-0.03,0.85,1.59,1.89,0,34.25,30.2,-26.62,idle
2,0.44,-0.01,0.91,0.55,0.24,1.46,33.97,30.21,-26.7,idle
2,0.45,-0.03,0.89,0.67,2.01,0.12,33.94,30.26,-26.09,idle
2,0.44,-0.04,0.87,-0.43,0.98,1.1,33.98,29.72,-25.52,idle
2,0.45,-0.03,0.87,0.18,1.1,0.31,34.11,30.16,-25.66,idle
2,0.44,-0.03,0.87,0.61,1.1,-0.12,34,29.82,-25.67,idle
2,0.44,-0.02,0.88,1.1,1.95,0.98,34.12,30.11,-26.39,idle
2,0.45,-0.02,0.89,-1.46,1.83,1.04,34.4,30,-26.49,idle
2,0.44,-0.04,0.89,-1.34,1.59,0.24,34.28,30.16,-26.5,idle
2,0.44,-0.01,0.88,-5.74,2.5,0.79,34.11,29.88,-25.93,idle
2,0.45,0.02,0.89,-3.17,6.23,0.98,34.75,29.59,-26.15,idle
2,0.44,-0.02,0.86,-1.71,6.04,0.12,34.84,30.31,-26.04,idle
2,0.46,-0.02,0.87,-7.2,4.15,0.98,34.18,29.68,-26.57,idle
2,0.45,-0.01,0.9,-4.7,4.39,0.79,34.55,29.43,-26.84,idle
2,0.46,-0.06,0.91,-5.86,2.99,2.38,34.41,29.74,-27.03,idle
2,0.46,0.04,0.82,-19.1,6.65,5.43,34.46,29.09,-26.18,idle
3,0.44,0.01,0.83,-59.08,-15.75,8.73,35.14,27.99,-28.36,idle
3,0.44,0.22,0.93,-40.53,-1.77,3.48,34.31,25.9,-28.19,idle
3,0.43,0.11,0.71,-59.69,-1.16,4.03,34.63,25.17,-29.03,idle
3,0.42,0.46,0.92,-57.68,-7.2,13.61,34.5,23.71,-29.75,idle
3,0.42,0.3,0.82,-43.21,9.34,-5.49,35.18,23.07,-29.39,idle
3,0.43,0.36,0.79,-54.87,-4.76,10.01,34.69,21.91,-30.3,idle
3,0.43,0.45,0.78,-28.56,2.99,-0.79,34.79,21.11,-30.19,idle
3,0.41,0.37,0.76,-49.93,-2.75,6.04,35.02,20.84,-30.35,idle
3,0.41,0.5,0.82,-7.57,-0.55,-1.65,34.25,19.9,-31.2,idle
3,0.41,0.4,0.73,-1.83,4.82,-4.88,34.28,19.93,-30.27,idle
3,0.42,0.45,0.78,4.21,3.11,-2.56,35.05,20.23,-29.96,idle
3,0.42,0.43,0.72,3.66,5.13,-3.85,34.8,20,-31.92,idle
3,0.42,0.44,0.77,0,0.06,1.65,34.75,20.3,-30.04,idle
3,0.42,0.47,0.77,0.73,2.26,-0.67,34.66,20.07,-30.26,idle
3,0.43,0.43,0.75,-1.77,-0.18,1.16,34.36,20.4,-30.22,idle
3,0.42,0.47,0.78,-1.83,2.08,1.4,34.41,20.37,-29.46,idle
3,0.43,0.44,0.77,1.1,0.85,-0.12,34.61,20.25,-29.94,idle
3,0.42,0.44,0.79,-1.65,-1.4,0.67,34.33,20.45,-30.91,idle
3,0.42,0.44,0.8,1.53,-1.16,1.28,34.85,20.54,-30.02,idle
3,0.42,0.44,0.76,1.04,0.79,-0.55,34.56,20.36,-30.26,idle
3,0.42,0.42,0.78,-0.43,1.16,-0.49,34.34,20.24,-30.35,idle
3,0.43,0.42,0.74,1.59,1.83,-1.4,34.44,20.68,-30.2,idle
3,0.43,0.44,0.77,-2.32,2.2,0.24,34.59,20.34,-30.99,idle
3,0.43,0.44,0.84,0.31,-0.43,1.28,34.3,20.29,-30.71,idle
3,0.43,0.45,0.81,-0.24,2.2,0.43,34.2,20.46,-30.71,idle
3,0.42,0.4,0.74,-2.38,-1.65,2.01,35.03,20.83,-29.88,idle
3,0.42,0.47,0.74,0.79,1.16,-2.01,34.41,20.59,-30.65,idle
3,0.43,0.46,0.82,-5.98,6.96,-2.14,34.44,20.41,-30.57,idle
3,0.44,0.44,0.73,-21.61,14.47,-5.31,35.03,20.01,-30.22,idle
3,0.45,0.39,0.7,-23.19,10.56,-1.77,34.7,20.06,-31.09,idle
4,0.45,0.52,0.66,-49.56,0.49,9.64,34.72,18.26,-31.05,idle
4,0.44,0.6,0.64,-46.2,3.54,3.36,34.64,17.41,-30.19,idle
4,0.45,0.65,0.66,-34.06,2.01,5.49,35.06,15.98,-29.88,idle
4,0.45,0.62,0.56,-52,-1.83,10.5,35.25,15.86,-29.27,idle
4,0.43,0.68,0.58,-42.72,3.36,3.23,35.17,14.06,-30.7,idle
4,0.43,0.7,0.5,-48.89,4.7,8.06,35.28,13.49,-30.07,idle
4,0.42,0.76,0.5,-40.04,2.14,8.85,35.42,12.49,-28.81,idle
4,0.43,0.8,0.49,-21,3.17,1.71,34.52,11.68,-28.2,idle
4,0.42,0.78,0.45,-11.9,2.38,0.43,35.19,11.08,-28.11,idle
4,0.42,0.73,0.43,0.24,1.34,-2.93,34.86,11.39,-28.25,idle
4,0.42,0.75,0.45,-4.33,1.1,-0.79,35.17,11.4,-27.94,idle
4,0.43,0.77,0.44,-0.98,3.05,-1.16,35.58,11,-28.72,idle
4,0.43,0.74,0.43,0.06,1.1,-0.37,36.01,10.62,-28.3,idle
4,0.42,0.75,0.44,1.53,1.34,2.08,35.31,11.55,-28.56,idle
4,0.43,0.75,0.45,1.46,3.11,-0.85,34.94,11.25,-28.69,idle
4,0.43,0.74,0.46,0.67,-0.18,0.85,35.06,11,-28.22,idle
4,0.43,0.77,0.44,2.56,2.2,0.37,35.5,11.04,-29.03,idle
4,0.42,0.75,0.44,2.38,1.34,-0.12,35.05,11.52,-28.76,idle
4,0.43,0.77,0.46,3.72,1.4,0.06,35.74,11.62,-29.05,idle
4,0.43,0.74,0.45,5.25,1.53,-2.14,35.19,11.21,-29.33,idle
4,0.43,0.76,0.45,-0.43,2.44,0.79,34.85,11.44,-29.03,idle
4,0.43,0.74,0.46,1.1,0,-0.37,35.17,11.77,-29.3,idle
4,0.43,0.73,0.47,-0.55,1.95,0.31,35.64,11.72,-27.95,idle
4,0.43,0.74,0.45,-0.79,3.11,-0.55,35.4,11.18,-29.17,idle
4,0.43,0.77,0.45,0.18,2.69,2.69,34.97,11.44,-28.83,idle
4,0.43,0.73,0.44,0.98,4.09,0.67,35.12,11.57,-25.34,idle
4,0.43,0.76,0.47,-0.06,3.17,0.37,35.33,11.25,-27.73,idle
4,0.43,0.75,0.46,-2.56,1.59,-0.37,35.5,11.34,-30.05,idle
4,0.44,0.77,0.46,-2.5,2.26,-0.55,35.27,11.28,-27.36,idle
4,0.43,0.72,0.42,-8.18,4.76,-5,35.5,11.28,-29.35,idle
5,0.44,0.73,0.36,-7.63,6.65,-7.26,35.8,11.04,-27.48,idle
5,0.46,0.74,0.45,-5.8,-1.22,3.66,35.57,11.11,-28.7,idle
5,0.44,0.8,0.42,-19.1,1.04,2.56,35.35,10.53,-27.7,idle
5,0.45,0.74,0.39,-10.19,0.43,1.59,35.39,11.15,-29.11,idle
5,0.44,0.78,0.39,-22.77,0.67,4.64,35.25,10.52,-28.32,idle
5,0.45,0.78,0.35,-21.61,5.07,0.92,35.28,10.01,-28.61,idle
5,0.44,0.78,0.29,-22.4,5.25,4.15,36,9.78,-28.5,idle
5,0.43,0.79,0.27,-18.49,4.33,2.26,35.77,9.4,-28.22,idle
5,0.44,0.84,0.31,-6.65,3.6,-1.04,35.69,9.02,-28.58,idle
5,0.44,0.86,0.31,-13.55,2.08,5.19,35.71,8.65,-28.04,idle
5,0.44,0.86,0.28,-2.81,2.81,0.31,35.5,9.01,-26.34,idle
5,0.44,0.8,0.27,-7.39,0.79,-0.06,35.89,8.48,-27.11,idle
5,0.45,0.84,0.27,-3.6,0.85,1.1,35.55,8.31,-26.99,idle
5,0.43,0.8,0.26,-9.7,-0.43,1.1,35.53,8.52,-26.62,idle
5,0.43,0.84,0.26,-6.77,-1.1,1.95,35.23,8.51,-27.67,idle
5,0.44,0.83,0.26,1.65,0.37,-1.71,36.01,8.8,-27.81,idle
5,0.44,0.8,0.26,-6.59,-0.49,2.01,35.17,8.61,-27.58,idle
5,0.43,0.84,0.25,-6.23,2.44,3.05,35.22,8.29,-27.76,idle
5,0.43,0.84,0.27,-4.64,-0.55,2.2,35.78,8.07,-26.7,idle
5,0.43,0.82,0.25,-4.46,1.59,0.79,35.49,8.42,-26.25,idle
5,0.42,0.85,0.24,-3.48,2.44,3.72,35.31,8.5,-26.35,idle
5,0.43,0.85,0.23,0,1.95,0.43,35.71,7.54,-27.15,idle
5,0.42,0.83,0.24,-0.12,1.71,0.61,35.31,7.67,-26.59,idle
5,0.43,0.85,0.25,1.4,2.38,1.53,35.02,8.2,-26.49,idle
5,0.43,0.85,0.25,0.55,1.65,1.16,35.07,8.02,-28.43,idle
5,0.43,0.85,0.26,-0.92,1.22,2.81,34.95,8.12,-28,idle
5,0.43,0.85,0.22,6.1,2.99,1.16,34.91,7.57,-27.83,idle
5,0.43,0.84,0.25,3.66,1.34,0.37,35.53,7.81,-26.61,idle
5,0.43,0.86,0.26,6.1,1.65,1.59,35.34,8.18,-26.97,idle
5,0.42,0.82,0.25,9.28,1.16,0.67,35.35,8.46,-26.29,idle
6,0.44,0.83,0.37,93.57,-1.65,-5.07,34.88,9.97,-28.36,idle
6,0.43,0.8,0.46,113.16,-19.84,-1.77,35.21,11.74,-28.74,idle
6,0.41,0.59,0.58,83.31,-9.89,3.17,35.02,13.54,-29.61,idle
6,0.43,0.86,0.56,65.86,-5.86,20.02,34.81,14.59,-30.21,idle
6,0.36,0.75,0.44,90.52,-23.01,-16.36,34.78,15.56,-30.64,idle
6,0.34,0.42,0.74,165.1,-36.19,-14.95,34.2,18.81,-32.37,idle
6,0.38,0.43,0.29,87.46,-112.18,13,32.4,23.25,-32.89,idle
6,0.42,1.16,1.03,216.49,-29.97,297.12,31.08,22.24,-34.34,idle
6,0.2,-0.17,1.34,54.63,-43.88,14.4,31.52,20.34,-31.91,idle
6,0.08,0.23,1.12,20.75,14.65,-24.54,30.02,22.17,-31.98,idle
6,0.16,0.28,0.81,6.9,15.99,-13.12,30.6,23.41,-30.81,idle
6,0.17,0.25,0.87,15.01,-17.03,-15.44,30.52,24.66,-31.7,idle
6,0.17,0.21,0.99,25.51,-7.2,-7.26,30.4,25.27,-31.95,idle
6,0.16,0.19,0.94,14.95,0.55,0.37,30.64,26.21,-29.97,idle
6,0.16,0.28,0.96,7.75,-6.84,8,29.63,26.84,-30.85,idle
6,0.15,0.24,0.98,8.18,-3.48,2.87,29.28,26.11,-30.62,idle
6,0.14,0.21,0.96,1.83,-2.75,5.43,28.56,26.54,-31.05,idle
6,0.15,0.24,0.95,2.5,0.55,2.44,29.65,26.14,-30.86,idle
6,0.14,0.18,0.96,3.54,-1.34,0.31,29.1,26.54,-29.68,idle
6,0.13,0.21,0.99,2.62,-1.16,3.85,29.27,25.96,-30.96,idle
6,0.13,0.2,0.97,2.99,-1.34,0.12,29.36,26.17,-30.11,idle
6,0.13,0.2,0.94,3.54,0.31,1.1,29.36,25.88,-29.77,idle
6,0.13,0.2,0.96,5.92,-0.61,2.62,29.5,26.61,-30.47,idle
6,0.13,0.21,0.98,4.64,0.85,1.34,28.33,26.48,-29.98,idle
6,0.13,0.17,0.96,1.16,1.59,0.06,28.93,26.78,-30.24,idle
6,0.13,0.2,0.98,0.61,1.4,2.26,29.3,25.9,-28.86,idle
6,0.13,0.19,0.97,-0.98,6.65,-0.06,29.02,26.44,-30.53,idle
6,0.15,0.22,1.04,-5.37,11.54,1.04,29.26,26.94,-29.64,idle
6,0.22,0.27,1.02,-22.64,29.79,-2.01,29.08,26.1,-29.61,idle
6,0.18,0.17,0.93,-21.48,41.81,-8.3,29.7,26.18,-33.22,idle
7,0.26,0.46,0.96,34.55,10.86,-2.81,31.99,26.1,-31.09,idle
7,0.3,0.17,0.95,-26.25,31.56,-32.53,32.17,27.09,-31.08,idle
7,0.4,0.17,0.82,-9.28,18.68,-4.76,32.64,27.45,-31.01,idle
7,0.28,0.13,0.79,-4.09,-16.36,22.46,32.82,27.03,-31.57,idle
7,0.27,0.58,0.88,11.66,-29.72,53.41,32.85,25.01,-30.05,idle
7,0.31,0.4,1.14,-54.5,11.72,-20.39,32.52,24.33,-30.26,idle
7,0.35,0.28,0.69,-57.86,45.04,-4.88,32.71,23.55,-30.08,idle
7,0.35,0.4,1.1,44.8,5.43,-17.46,33.13,23.4,-30.85,idle
7,0.34,0.31,0.69,-97.35,70.07,-37.17,33.79,23.32,-30.47,idle
7,0.75,0.47,0.4,-91.25,65.37,35.89,34.73,21.69,-29.02,idle
7,0.44,0.57,0.96,32.41,-5.68,31.68,35.29,20.87,-28.28,idle
7,0.42,0.45,0.69,-19.53,45.23,-20.94,35.55,20,-27.94,idle
7,0.45,0.49,0.73,28.08,-0.18,8.12,36.15,20.76,-26.5,idle
7,0.52,0.47,0.8,34.91,0.85,8.12,36.23,20.58,-26.4,idle
7,0.45,0.45,0.56,7.45,32.1,-9.28,35.78,20.32,-25.65,idle
7,0.48,0.38,0.73,13.73,-2.99,1.22,36.02,20.56,-25.84,idle
7,0.48,0.44,0.77,-1.89,-0.12,6.53,36.39,20.37,-25.85,idle
7,0.48,0.41,0.78,13,2.69,-5.43,35.72,20.35,-26.88,idle
7,0.48,0.39,0.75,4.88,1.53,0.73,36.58,20.54,-25.78,idle
7,0.48,0.41,0.74,-0.43,3.6,1.65,36.49,20.83,-25.22,idle
7,0.48,0.39,0.78,16.91,2.38,-2.32,36.38,21.44,-25.38,idle
7,0.48,0.38,0.79,16.6,3.54,-3.42,35.88,21.23,-26.21,idle
7,0.48,0.37,0.75,7.32,3.91,-1.1,36.11,21.53,-25.83,idle
7,0.49,0.39,0.79,2.32,3.78,-2.26,36.73,21.66,-24.76,idle
7,0.49,0.35,0.75,-10.07,5.62,-2.56,36.01,21.86,-24.76,idle
7,0.5,0.4,0.79,-7.2,8.48,0.61,36.27,22.57,-25.49,idle
7,0.5,0.42,0.74,-3.48,22.95,8.97,37.04,22,-25.73,idle
7,0.46,0.42,0.65,-70.25,10.5,30.09,36.45,20.92,-25.23,idle
7,0.48,0.59,0.63,-29.91,20.26,41.2,37.08,19.89,-24.87,idle
7,0.5,0.56,0.8,-20.63,6.65,11.35,37.48,17.52,-22.81,idle
8,0.49,0.58,0.63,7.75,-14.1,10.74,38.01,15.15,-23.52,idle
8,0.49,0.56,0.7,-10.99,-0.18,5.43,37.93,14.88,-25,idle
8,0.5,0.56,0.64,-21.61,19.41,8.73,37.81,14.73,-23.39,idle
8,0.49,0.59,0.53,-21.06,14.95,2.32,37.77,14.01,-22.64,idle
8,0.49,0.61,0.6,-13.43,5.13,-1.4,37.74,13.56,-20.85,idle
8,0.47,0.63,0.55,-11.11,5.68,1.59,38.26,13.68,-21.5,idle
8,0.52,0.59,0.45,-73.18,-2.99,0.92,37.92,13.78,-20.8,idle
8,0.54,0.75,0.57,-47.79,3.54,-5.25,37.88,13.24,-20.83,idle
8,0.52,0.64,0.4,-75.2,5.49,-11.84,37.88,13.34,-21.86,idle
8,0.49,0.66,0.45,-75.56,-2.75,-12.02,38.18,13.06,-22.39,idle
8,0.53,0.69,0.33,-72.75,8.06,10.93,38.31,13.32,-21.01,idle
8,0.53,0.9,0.27,-53.71,15.38,7.57,37.99,11.91,-20.02,idle
8,0.52,0.73,0.24,-31.62,2.5,-10.13,37.78,11.83,-18.98,idle
8,0.53,0.78,0.24,-47,5,3.91,38.04,12.22,-20.13,idle
8,0.51,0.75,0.19,-40.28,2.56,-5.43,38.05,11.84,-19.18,idle
8,0.54,0.82,0.15,-39.18,5.07,-2.26,38.68,12.32,-19.73,idle
8,0.51,0.75,0.09,-50.66,9.22,3.78,38.4,11.93,-19.12,idle
8,0.55,0.85,0.09,-48.34,10.13,7.63,38.49,11.58,-18.19,idle
8,0.52,0.76,0.02,-54.63,14.47,8,38.18,11.32,-17.72,idle
8,0.53,0.91,-0.08,-51.57,18.13,11.9,38.56,10.67,-15.81,idle
8,0.52,0.83,-0.08,-36.62,14.47,3.3,37.95,10.62,-15.16,idle
8,0.5,0.85,-0.18,-52.92,22.03,1.89,37.72,10.44,-13.76,idle
8,0.51,0.81,-0.18,-42.66,14.4,2.93,38.12,9.68,-14.37,idle
8,0.5,0.8,-0.24,-36.8,13.61,-0.06,37.74,10.23,-13.06,idle
8,0.48,0.78,-0.28,-59.57,20.2,2.87,37.89,10.11,-12.48,idle
8,0.47,0.77,-0.34,-47.24,21.85,13.67,38.16,10.36,-11.11,idle
8,0.48,0.8,-0.4,-19.17,8.67,3.91,37.62,10.6,-9.52,idle
8,0.46,0.71,-0.37,-38.94,15.87,7.57,37.11,10.34,-9.4,idle
8,0.45,0.78,-0.49,-43.58,25.27,11.54,37.12,10.67,-8.52,idle
8,0.43,0.72,-0.45,-6.96,4.27,2.62,36.49,10.56,-7.64,idle
9,0.42,0.69,-0.47,-31.62,16.85,7.63,36.22,11.25,-5.36,idle
9,0.4,0.74,-0.59,-26.79,18.37,7.2,36.1,11.4,-5.13,idle
9,0.39,0.7,-0.57,-25.15,11.11,4.15,35.57,11.67,-4.38,idle
9,0.38,0.67,-0.6,-32.29,20.51,6.16,35.82,12.12,-4.97,idle
9,0.38,0.69,-0.67,-18.68,6.65,1.71,35.24,13.34,-3.17,idle
9,0.38,0.66,-0.59,-19.41,8.48,1.22,34.58,13.12,-3.32,idle
9,0.36,0.59,-0.68,-34.42,13.24,4.76,34.8,13.27,-3.08,idle
9,0.34,0.6,-0.71,-16.42,5.31,1.46,34.86,13.5,-2.66,idle
9,0.35,0.6,-0.69,-23.32,7.81,0.73,34.66,14.11,-1.64,idle
9,0.35,0.59,-0.73,-15.14,4.27,0.12,34.47,14.51,-1.35,idle
9,0.34,0.58,-0.74,-10.56,6.96,0.67,34.75,14.99,-1.12,idle
9,0.34,0.57,-0.74,-8.85,3.48,0.31,34.44,14.66,-1,idle
9,0.34,0.57,-0.75,-4.09,3.42,0.31,34.4,14.66,-1,idle
9,0.33,0.56,-0.74,-4.27,2.87,1.16,34.46,14.98,-1.1,idle
9,0.33,0.55,-0.74,-6.23,3.72,0.55,33.89,14.55,-0.49,idle
9,0.33,0.55,-0.75,-1.65,1.16,0.92,34.06,15.36,-1.87,idle
9,0.33,0.54,-0.74,-3.48,1.34,1.22,34.06,15.31,-0.33,idle
9,0.33,0.54,-0.74,-5.49,2.44,1.77,34.39,14.88,-1.81,idle
9,0.33,0.56,-0.77,-9.03,5.13,3.05,34.12,14.81,-1.49,idle
9,0.33,0.54,-0.76,-4.46,2.01,1.16,34.31,15.17,-1.93,idle
9,0.35,0.5,-0.76,-4.03,3.3,1.71,33.61,15.19,-0.46,idle
9,0.33,0.56,-0.76,-4.15,2.5,2.44,33.79,15.32,-1.81,idle
9,0.33,0.55,-0.78,-3.66,3.23,1.28,33.87,15.59,-1.39,idle
9,0.33,0.53,-0.79,-6.71,3.97,0.31,33.9,16.1,-1.99,idle
9,0.32,0.52,-0.78,-9.03,3.91,0.55,33.73,15.59,-0.02,idle
9,0.32,0.51,-0.75,-10.93,2.08,-0.43,34.18,16.19,-1.05,idle
9,0.33,0.49,-0.84,-37.78,7.51,-0.12,34.09,16.25,-0.37,idle
9,0.3,0.44,-0.76,-67.63,11.78,-5.8,33.67,17.05,-0.17,idle
9,0.31,0.37,-0.83,-75.07,3.36,-5.68,33.3,17.35,0.28,idle
9,0.29,0.31,-0.86,-67.63,5,-6.04,33.54,19.13,-0.32,idle
10,0.26,0.07,-0.94,-119.26,29.85,-8.48,32.25,26.62,1.72,idle
10,0.23,-0.13,-1.02,-116.52,32.04,-12.94,31.42,30.46,-0.05,idle
10,0.21,-0.18,-1.02,-16.85,7.14,-1.53,31.43,31.82,0.13,idle
10,0.22,-0.12,-0.95,-6.53,5.62,-1.22,31.04,31.57,-0.62,idle
10,0.2,-0.14,-0.96,-14.83,7.87,-1.59,31.58,31.36,-0.55,idle
10,0.21,-0.15,-0.89,-1.22,2.81,1.16,30.18,32.19,-0.12,idle
10,0.19,-0.2,-0.96,-1.28,1.89,1.04,30.68,32.89,-0.87,idle
10,0.2,-0.17,-0.96,3.85,1.89,1.16,30.79,32.15,-0.89,idle
10,0.2,-0.16,-1,7.2,2.5,3.17,30.54,32.63,-1.18,idle
10,0.2,-0.12,-0.92,5.07,-0.73,2.26,30.85,32.06,-0.81,idle
10,0.2,-0.17,-0.99,0.85,3.11,1.04,31.02,32.04,-0.96,idle
10,0.19,-0.17,-0.94,2.14,0.55,0.55,30.51,32.32,-0.24,idle
10,0.2,-0.17,-0.95,2.69,1.46,1.1,30.75,31.64,-0.92,idle
10,0.19,-0.17,-0.97,3.11,2.87,0.98,30,32.24,-0.65,idle
10,0.21,-0.16,-0.95,3.05,3.17,-0.43,30.49,32.62,-0.57,idle
10,0.19,-0.17,-0.98,0.49,1.95,0.55,30.88,32.12,-0.34,idle
10,0.2,-0.16,-0.98,1.04,1.1,1.04,30.6,32.43,-2.04,idle
10,0.2,-0.17,-0.97,-1.28,2.32,0,30.52,32.2,-0.26,idle
10,0.19,-0.16,-0.99,4.15,1.83,0.12,30.3,32.4,-0.52,idle
10,0.21,-0.16,-0.99,-0.49,3.42,0.37,30.47,32.01,-0.44,idle
10,0.19,-0.16,-0.98,-0.43,2.38,0.55,30.47,32.29,-0.11,idle
10,0.2,-0.17,-0.98,0.85,0.79,1.22,30.18,32.48,-1.17,idle
10,0.2,-0.16,-0.99,-0.61,2.14,-0.06,30.2,31.98,-0.42,idle
10,0.19,-0.15,-0.98,-0.79,2.5,0.37,30.88,32.18,-1.38,idle
10,0.2,-0.17,-0.97,-3.91,1.16,-0.79,30.37,32.04,0.22,idle
10,0.19,-0.12,-0.94,0.98,-0.73,3.36,30.58,31.68,-0.7,idle
10,0.19,-0.16,-0.97,0.12,1.4,0.92,29.99,32.1,-0.76,idle
10,0.2,-0.17,-0.97,-2.69,1.95,-0.18,30.77,32.54,-0.5,idle
10,0.19,-0.16,-0.98,1.46,0.98,1.53,30.43,32.09,-0.74,idle
10,0.2,-0.16,-0.96,0,1.34,-0.06,30.75,32.46,-1.15,idle
11,0.2,-0.15,-0.97,9.7,-0.12,0.67,29.93,32.29,-1.37,idle
11,0.2,-0.14,-0.98,4.64,1.28,1.22,29.88,31.63,-1.21,idle
11,0.2,-0.14,-0.98,0.31,2.62,0.06,30.1,32.35,-0.22,idle
11,0.19,-0.16,-0.98,4.27,1.04,0.55,30.09,32.12,0.13,idle
11,0.21,-0.14,-0.98,3.54,2.08,0.61,30.14,31.54,-0.77,idle
11,0.2,-0.13,-1.01,0.24,2.62,0.43,30.2,31.46,-0.83,idle
11,0.2,-0.13,-1,2.44,1.53,1.1,30.96,31.38,-0.24,idle
11,0.2,-0.12,-0.97,2.75,1.22,1.16,31.14,30.77,0.22,idle
11,0.2,-0.13,-0.98,-0.37,1.28,-0.12,29.93,31.23,0.4,idle
11,0.2,-0.13,-0.99,0.06,2.87,0.43,29.94,31.57,-0.35,idle
11,0.21,-0.12,-0.95,1.34,0.12,0.92,30.15,31.79,-0.56,idle
11,0.2,-0.13,-0.96,1.28,0.92,0.43,29.8,31.52,-0.04,idle
11,0.19,-0.1,-0.94,3.05,-0.85,1.53,30.03,31.15,0.23,idle
11,0.2,-0.11,-0.93,0.67,-0.92,1.34,30.21,31.3,0.04,idle
11,0.2,-0.13,-0.95,1.28,0.61,0.37,30.3,30.94,-0.28,idle
11,0.2,-0.12,-0.98,1.89,1.04,0.85,30.24,30.9,0.72,idle
11,0.21,-0.12,-0.97,-0.06,1.71,0.31,30.48,30.49,0.07,idle
11,0.2,-0.13,-0.98,-0.49,1.89,0,30.73,31.36,-0.98,idle
11,0.2,-0.13,-0.99,2.62,0.98,0.73,30.2,31.43,0.27,idle
11,0.21,-0.13,-0.99,5.86,0.67,1.34,30.31,31.36,-0.67,idle
11,0.2,-0.11,-0.98,9.22,-0.55,1.28,30.75,31.56,0.5,idle
