counter,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,label
1,-0.2,0.1,0.98,-4.33,1.83,-0.37,13.06,18.86,-52.45,forehand
2,0.53,-0.81,0.13,-22.4,9.64,6.04,6.26,56.6,-18.01,forehand
2,0.45,-0.8,0.07,-3.11,2.62,1.04,6.69,56.42,-18.68,forehand
2,0.47,-0.81,0.2,-10.86,-3.72,-2.93,6.98,56.64,-18.69,forehand
2,0.49,-0.79,0.22,-2.5,-1.65,-0.06,6.84,56.52,-18.92,forehand
2,0.51,-0.79,0.25,-10.5,-1.77,-7.02,6.96,56.02,-19.41,forehand
2,0.54,-0.8,0.24,-7.08,1.28,-10.99,6.35,56.14,-19.96,forehand
2,0.58,-0.88,0.2,-8.91,0.24,-15.87,5.65,55.99,-19.47,forehand
2,0.71,-1.1,0.11,-16.72,-7.75,-13.06,4.94,56.3,-18.75,forehand
2,0.79,-1.58,0.03,-28.2,-26,25.88,4.48,56.29,-19.98,forehand
2,0.59,-2,0.16,-114.5,-35.89,141.17,5.52,56.37,-22.49,forehand
2,0.07,-1.85,-0.16,-228.94,-37.29,312.5,11.62,52.58,-27.93,forehand
2,-0.58,-1.05,0.17,-161.5,-124.94,435.85,19.89,43.99,-35.68,forehand
2,-1.24,-0.29,0.26,-47.06,-141.36,470.83,24.57,32.08,-41.54,forehand
2,-1.4,0.69,0.32,-106.02,-122.8,444.64,25.79,20.61,-44.25,forehand
2,-1.12,1.42,0.67,-100.22,-87.83,345.03,20.39,6.75,-45.57,forehand
2,-0.64,1.76,0.78,50.66,-43.46,182.8,13.48,-2.76,-45.73,forehand
2,-0.5,1.22,0.77,4.09,-4.76,66.41,8.02,-3.11,-46.9,forehand
2,-0.38,0.77,0.74,13.37,7.75,-15.44,6.41,-3.66,-46.4,forehand
2,-0.35,0.37,0.76,17.58,31.98,-22.71,6.65,-3.63,-48.58,forehand
2,-0.37,0.49,0.73,15.75,27.1,-2.75,8.41,-2.81,-48.07,forehand
2,-0.35,0.55,0.75,7.32,21.42,4.03,10.31,-2.05,-48.13,forehand
2,-0.33,0.68,0.67,20.08,4.94,3.23,10.08,-2.89,-47.52,forehand
2,-0.28,0.61,0.76,-2.87,-7.93,1.4,10.79,-1.93,-47.91,forehand
2,-0.25,0.56,0.83,1.22,-4.52,-0.18,10.33,-1.92,-48.57,forehand
2,-0.24,0.49,0.8,6.84,0.49,-0.79,9.99,-1.83,-48.78,forehand
2,-0.24,0.52,0.81,11.84,1.89,3.72,9.72,-2.34,-47.58,forehand
2,-0.26,0.54,0.8,8.91,2.81,0.98,9.94,-1.65,-47.9,forehand
2,-0.27,0.56,0.83,3.72,4.21,0.79,9.68,-0.5,-48.54,forehand
2,-0.27,0.54,0.8,4.15,9.58,-4.64,10.57,-0.87,-49.37,forehand
2,-0.26,0.54,0.81,10.38,7.51,-6.53,10.55,-0.94,-49.8,forehand
3,0.39,-0.88,-0.02,-9.4,-6.47,0.67,3.11,56.82,-8.81,forehand
3,0.4,-0.88,-0.03,-2.14,-5.98,-5,3.02,57.85,-10.31,forehand
3,0.41,-0.92,0.01,-5.92,-9.28,-7.81,2.73,57.31,-11.11,forehand
3,0.43,-0.94,0.05,-7.81,-11.47,-6.53,2.48,57.37,-10.25,forehand
3,0.45,-0.94,0.08,-3.97,-6.47,-7.87,1.88,57.18,-11.49,forehand
3,0.49,-1.02,0,-7.02,-4.39,-11.23,2.03,57.02,-11.66,forehand
3,0.6,-1.3,-0.04,-5.43,-9.64,-3.36,1.11,57.75,-11.8,forehand
3,0.6,-2.02,-0.29,-66.35,-17.7,65.86,1.29,58.08,-12.27,forehand
3,0.34,-2.02,-0.25,-123.6,-36.74,196.9,2.27,58.02,-13.83,forehand
3,-0.12,-1.7,-0.54,-248.96,-44.07,368.9,8.92,56.99,-19.23,forehand
3,-0.76,-0.92,-0.11,-247.74,-142.21,496.83,19.43,33.69,-35.57,forehand
3,-1.3,0.02,0.39,57.5,-147.77,479.43,30.92,20.69,-38.68,forehand
3,-1.63,0.4,0.07,-100.46,-166.63,491.09,25.5,6.26,-42.16,forehand
3,-1.4,1.89,0.69,-39.67,-130.19,417.72,14.09,-6.77,-44.48,forehand
3,-0.71,1.76,0.89,73.06,-63.42,175.23,6.08,-5.82,-45.7,forehand
3,-0.53,0.75,0.6,25.63,9.4,16.24,4.08,-5.44,-46.72,forehand
3,-0.38,0.43,0.71,21.12,0.73,9.95,4.15,-4.04,-46.53,forehand
3,-0.39,0.35,0.72,35.64,25.27,-8.73,4.33,-3.89,-47.44,forehand
3,-0.45,0.45,0.82,13.85,0.61,13.49,5.05,-2.98,-47.34,forehand
3,-0.5,0.6,0.92,24.54,23.74,1.4,5.86,-2.32,-49.23,forehand
3,-0.47,0.63,0.82,10.5,10.93,2.75,5.93,-1.89,-48.45,forehand
3,-0.41,0.55,0.78,-14.77,2.32,-2.69,6.16,-2.32,-48.67,forehand
3,-0.37,0.44,0.76,-0.06,-1.28,-4.94,6.77,-2.73,-49.89,forehand
3,-0.35,0.44,0.78,11.9,-0.98,-2.69,6.34,-2.55,-50.02,forehand
3,-0.36,0.42,0.82,8.12,2.2,-2.14,6.18,-1.59,-48.83,forehand
3,-0.37,0.45,0.82,9.16,5.25,-1.28,6.48,-0.94,-49.21,forehand
3,-0.38,0.48,0.84,10.19,6.41,-3.23,7.03,-0.57,-49.55,forehand
3,-0.38,0.5,0.84,8.06,8.91,-8.36,7.03,0.32,-49.01,forehand
3,-0.37,0.48,0.81,8.3,10.13,-13.24,7.81,-0.24,-50.11,forehand
3,-0.35,0.47,0.83,6.1,8.06,-19.1,8.19,0.23,-50.04,forehand
4,0.46,-1.05,-0.08,-10.5,-1.28,1.77,1.28,56.48,-9.51,forehand
4,0.4,-0.99,-0.05,-5.92,-1.22,3.85,0.94,56.53,-9.12,forehand
4,0.36,-0.94,-0.04,-3.91,-1.83,5.31,1.27,57.31,-8.92,forehand
4,0.34,-0.9,-0.04,-1.83,-5.13,2.81,1.6,57.02,-10.72,forehand
4,0.37,-0.92,0,-11.78,-6.96,-1.16,1.44,56.97,-11.23,forehand
4,0.44,-1.07,-0.09,-11.72,-16.05,2.08,1.32,57.03,-11.4,forehand
4,0.51,-1.28,-0.13,-12.51,-29.54,24.6,2.05,57.6,-12.43,forehand
4,0.51,-1.4,-0.12,-11.78,-38.64,57.74,2.66,58.06,-13.21,forehand
4,0.45,-1.22,-0.07,-48.52,-55.05,112.18,5.22,57.89,-14.27,forehand
4,0.38,-1,-0.08,-53.96,-71.66,134.58,9.41,57.48,-15.56,forehand
4,0.3,-0.96,-0.07,-99.73,-99.43,176.82,14.29,55.2,-20.4,forehand
4,0.25,-0.64,0.16,-116.27,-127.99,221.25,19.91,52.34,-25.57,forehand
4,0.26,-0.36,0.48,-127.44,-130.68,236.63,24.43,46.64,-31.19,forehand
4,0.19,-0.12,0.64,-68.36,-120.18,231.02,27.58,39.32,-35.21,forehand
4,0.08,0.12,0.71,-84.47,-89.36,226.87,29.53,30.31,-36.89,forehand
4,-0.1,0.36,0.68,-46.33,-71.47,225.16,29.05,21.51,-39.29,forehand
4,-0.22,0.42,0.73,-75.68,-41.02,202.09,28.61,13.81,-40.43,forehand
4,-0.29,0.58,0.92,-31.92,-39.06,187.62,26.53,6.08,-39.88,forehand
4,-0.32,0.79,0.89,-10.13,0,163.76,22.91,-0.29,-42.36,forehand
4,-0.27,1.11,0.7,23.93,-13.67,121.58,21.09,-3.69,-43.49,forehand
4,-0.19,0.99,0.78,9.58,-32.9,70.25,18.74,-4.41,-44.13,forehand
4,-0.19,0.81,0.86,16.3,-0.67,16.97,16.52,-5.13,-46.33,forehand
4,-0.14,0.8,0.98,0.92,1.04,-2.75,15.99,-4.53,-45.51,forehand
4,-0.16,0.57,0.88,11.29,6.23,-7.14,15.91,-4.53,-45.75,forehand
4,-0.16,0.58,0.82,0.67,-0.79,0.49,16.17,-4.28,-45.03,forehand
4,-0.16,0.58,0.77,6.77,0.92,-1.1,16.5,-4.16,-45.03,forehand
4,-0.14,0.54,0.79,2.32,-1.95,-2.69,16.99,-4.59,-46.01,forehand
4,-0.12,0.54,0.77,1.83,1.65,-7.14,17.29,-4.21,-45.47,forehand
4,-0.12,0.53,0.82,2.56,0.12,-7.63,17.18,-3.91,-45.61,forehand
4,-0.12,0.6,0.84,7.08,3.17,-13.31,17.38,-4.55,-45.45,forehand
5,0.6,-1.2,0.47,2.93,-24.41,0.55,6.87,51.11,-30.69,forehand
5,0.61,-0.9,0.43,-6.04,-8.91,21.79,7.53,50.61,-30.1,forehand
5,0.54,-0.83,0.41,15.87,-16.72,26,7.56,50.38,-30.46,forehand
5,0.55,-0.7,0.5,-2.26,-16.48,33.69,8.04,50.76,-30.94,forehand
5,0.57,-0.8,0.49,10.5,-14.59,34.18,9.01,50.02,-30.59,forehand
5,0.61,-0.97,0.41,-1.71,-16.91,58.47,9.51,50.18,-30.68,forehand
5,0.64,-1.09,0.49,-11.66,-28.32,93.93,10.71,50.06,-31.59,forehand
5,0.54,-0.9,0.51,-18.55,-26.61,139.59,13.48,49,-33.35,forehand
5,0.44,-0.75,0.38,-4.94,-34.61,158.14,16.75,47.34,-35.25,forehand
5,0.42,-0.47,0.54,-46.63,-47.79,194.95,20.07,45.85,-34.52,forehand
5,0.4,-0.16,0.6,-44.56,-34.36,208.31,22.85,41.08,-36.52,forehand
5,0.34,0.07,0.54,-43.46,-26.86,208.74,27.2,36.13,-38.17,forehand
5,0.34,0.31,0.56,-51.03,-29.24,199.34,29.68,30.08,-38.42,forehand
5,0.3,0.39,0.6,-12.08,-22.77,179.75,31.56,23.46,-38.89,forehand
5,0.27,0.44,0.66,-17.21,-8.48,155.46,31.48,18.66,-38.53,forehand
5,0.14,0.33,0.71,-22.58,-3.23,164.98,30.69,12.83,-37.87,forehand
5,-0.15,0.45,0.83,-3.3,23.44,188.42,29.6,7.53,-36.47,forehand
5,-0.32,0.59,0.55,26.67,24.29,170.41,28.65,1.5,-36.06,forehand
5,-0.33,0.93,0.69,21.85,18.86,136.84,26.53,-3.77,-36.52,forehand
5,-0.19,1.05,0.67,65.61,17.58,68.85,24.41,-8.08,-40.36,forehand
5,0,1.21,0.81,48.52,21.18,-6.71,23.29,-7.09,-40.01,forehand
5,0.13,0.96,0.96,26.79,28.2,-41.56,24.02,-4,-40.86,forehand
5,0.16,0.67,0.87,4.33,19.1,-20.94,25.6,-3.49,-39.82,forehand
5,0.12,0.51,0.81,12.27,1.89,-10.56,26.45,-2.95,-40.42,forehand
5,0.08,0.61,0.79,-0.37,-6.23,0.85,26.55,-2.88,-40.21,forehand
5,0.07,0.65,0.83,5.62,-2.69,2.5,27.04,-3.81,-39.98,forehand
5,0.09,0.63,0.81,8.73,0.61,-2.93,26.87,-2.48,-41.25,forehand
5,0.1,0.67,0.81,3.6,1.59,-19.47,27.6,-3.16,-41.16,forehand
5,0.11,0.58,0.87,10.93,9.22,-34.73,27.93,-2.62,-41.26,forehand
5,0.14,0.56,0.92,0.85,22.89,-41.63,29.35,-1.48,-40.89,forehand
6,0.4,-0.91,-0.27,0.67,-8.73,-0.49,2.44,54.68,-1.84,forehand
6,0.41,-0.96,-0.32,-0.67,-12.33,-1.59,2.19,54.63,-2.14,forehand
6,0.43,-0.97,-0.31,-9.22,-16.42,-0.06,1.49,54.79,-1.81,forehand
6,0.45,-1.03,-0.37,1.04,-24.96,7.39,2.86,55.16,-3,forehand
6,0.5,-1.07,-0.38,-6.23,-37.17,15.99,3.45,55.66,-3.43,forehand
6,0.57,-1.19,-0.55,-13,-56.09,28.56,5.11,56.09,-4.32,forehand
6,0.51,-1.38,-0.56,-64.45,-103.33,76.05,8.07,56.9,-6.29,forehand
6,0.4,-1.3,-0.47,-84.17,-150.57,137.33,13.26,56.67,-9.19,forehand
6,0.22,-1.09,-0.32,-213.81,-189.33,228.15,19.17,54.66,-16.76,forehand
6,-0.09,-0.59,0,-249.02,-212.77,297.91,25.79,47.49,-28.87,forehand
6,-0.32,-0.15,0.4,-229.68,-195.19,324.52,28.93,34.5,-36.1,forehand
6,-0.6,0.02,0.44,-175.54,-118.71,306.03,28.15,20.74,-41.14,forehand
6,-0.78,0.5,0.38,-88.56,-89.9,296.2,25.79,8.68,-42.11,forehand
6,-0.66,1.05,0.65,-85.33,-88.68,240.66,20.15,-0.71,-42.58,forehand
6,-0.48,1.23,0.75,-21.67,-58.96,152.4,14.38,-6.4,-41.5,forehand
6,-0.51,1.27,0.67,5.07,-43.09,95.89,9.47,-8.46,-42.74,forehand
6,-0.43,0.82,0.6,7.69,-23.44,12.15,6.87,-9.55,-43.85,forehand
6,-0.44,0.75,0.68,8.54,-12.27,15.44,5.88,-9.95,-44.01,forehand
6,-0.47,0.63,0.73,4.76,-10.86,6.9,4.7,-10.86,-45.07,forehand
6,-0.46,0.71,0.81,19.84,-7.87,15.75,4.11,-11.04,-46.9,forehand
6,-0.44,0.68,0.71,12.63,2.56,6.29,2.98,-9.99,-48.78,forehand
6,-0.41,0.62,0.65,15.93,-0.67,2.56,2.08,-8.59,-48.72,forehand
6,-0.41,0.6,0.68,15.69,-0.61,2.14,2.47,-7.71,-50.13,forehand
6,-0.4,0.6,0.73,11.11,0.06,1.4,2.55,-7.3,-50.52,forehand
6,-0.41,0.59,0.78,15.69,5.86,-5.19,2.64,-6.81,-51.31,forehand
6,-0.4,0.55,0.73,7.63,10.25,-4.33,3.27,-5.59,-53.09,forehand
6,-0.38,0.54,0.71,1.1,8.73,-4.09,3.08,-5.88,-52.2,forehand
6,-0.38,0.58,0.74,4.03,7.39,-3.54,3.96,-5.35,-51.98,forehand
6,-0.38,0.65,0.76,-1.95,6.41,-8,3.91,-5.63,-52.69,forehand
6,-0.37,0.62,0.78,11.47,13.92,-19.84,4.72,-5.33,-52.16,forehand
7,0.53,-1.16,0.16,-7.51,-2.99,-18.86,3.52,55.97,-19.43,forehand
7,0.53,-1.04,0.17,-0.67,-0.12,-1.04,3.56,56.05,-19.92,forehand
7,0.49,-1,0.21,0.43,-10.31,1.77,3.6,56.07,-20,forehand
7,0.42,-0.96,0.22,-7.63,-2.01,9.89,3.5,55.8,-20.59,forehand
7,0.38,-0.88,0.18,-1.59,-12.02,10.62,4.16,56.19,-20,forehand
7,0.4,-0.92,0.27,-11.84,-14.89,16.05,4.33,56.01,-21.41,forehand
7,0.45,-0.92,0.27,-2.75,-13.98,15.5,4.8,56.63,-21.61,forehand
7,0.47,-0.95,0.31,-12.21,-18.19,23.19,5.15,56.36,-22.17,forehand
7,0.48,-0.96,0.31,-22.52,-18.37,35.89,5.44,56.18,-22.78,forehand
7,0.49,-1,0.29,-17.15,-25.27,43.52,6.32,55.97,-23.66,forehand
7,0.49,-0.96,0.33,-30.64,-33.26,64.64,8.3,56.01,-24.67,forehand
7,0.52,-0.84,0.36,-48.95,-39.12,83.56,9.57,55.24,-26.79,forehand
7,0.55,-0.8,0.41,-54.02,-47.91,92.22,11.68,55.24,-27.75,forehand
7,0.53,-0.8,0.44,-68.97,-48.71,119.14,14.36,53.86,-30.11,forehand
7,0.51,-0.54,0.51,-66.22,-54.2,131.16,17.36,50.62,-31.86,forehand
7,0.51,-0.36,0.62,-48.77,-52.86,132.14,19.87,48.08,-35.29,forehand
7,0.5,-0.18,0.67,-63.54,-47.61,135.8,22.79,44.74,-35.97,forehand
7,0.44,-0.1,0.61,-49.26,-41.2,128.05,25.55,40.16,-36.87,forehand
7,0.35,0,0.63,-81.3,-45.23,137.82,27.73,34.79,-37.76,forehand
7,0.24,0.09,0.66,-67.02,-39.49,138.43,27.26,29.64,-39.49,forehand
7,0.12,0.14,0.74,-96.92,-34.48,155.76,27.36,23.61,-41.81,forehand
7,0.01,0.3,0.79,-84.84,-10.93,161.38,27,16.67,-41.19,forehand
7,-0.11,0.61,0.81,-100.4,2.01,170.9,26.09,9.83,-39.87,forehand
7,-0.26,0.78,0.7,-65.55,18.43,156.25,25.23,2.62,-38.99,forehand
7,-0.3,0.96,0.5,-5.19,24.17,126.53,23.22,-4.24,-37.6,forehand
7,-0.25,1.05,0.37,5.8,19.96,89.42,21.18,-8.61,-38.38,forehand
7,-0.15,1.18,0.63,32.9,11.6,41.14,20.52,-10.3,-39.99,forehand
7,-0.02,1.23,0.73,26.31,9.34,-9.03,20.09,-10.27,-40.45,forehand
7,-0.01,0.82,0.75,13.49,2.56,-13.73,20.81,-8.4,-40.89,forehand
7,-0.02,0.68,0.68,3.05,-2.99,-0.79,20.51,-8.46,-41.55,forehand
8,0.48,-1.09,0.26,19.47,-8.54,6.41,1.83,55.18,-26.7,forehand
8,0.42,-0.94,0.4,-21.36,-13.49,28.32,1.61,56.09,-26.33,forehand
8,0.41,-0.83,0.43,0.12,-7.39,24.29,2.48,55.15,-27.97,forehand
8,0.45,-0.85,0.41,0.37,-10.86,20.45,3.31,55.43,-26.95,forehand
8,0.49,-0.96,0.42,-8.85,-9.09,26.49,3.39,55.4,-27.78,forehand
8,0.52,-1.22,0.3,-26.12,-11.6,58.17,4.66,55.73,-28.1,forehand
8,0.47,-1.24,0.16,-64.03,-37.9,129.39,6.09,55.63,-28.37,forehand
8,0.32,-0.92,0.3,-97.66,-81.18,190.98,9.11,54.13,-31.02,forehand
8,0.36,-0.47,0.66,-99.67,-54.93,191.53,13.64,51.66,-34.72,forehand
8,0.39,-0.21,0.6,-93.93,-37.78,185.91,17.91,47.01,-36.83,forehand
8,0.41,0.12,0.73,-58.29,-33.63,160.03,22,42.37,-39.26,forehand
8,0.4,0.14,0.68,-43.58,-20.45,130.31,26.83,33.3,-39.99,forehand
8,0.39,0.31,0.7,-53.83,-11.78,122.31,27.89,27.38,-40.42,forehand
8,0.38,0.28,0.59,-32.23,-13.73,99.73,28.63,23.41,-40.15,forehand
8,0.32,0.19,0.77,-55.6,-21.06,113.34,28.83,19.03,-39.95,forehand
8,0.24,0.1,0.8,-88.87,-0.06,136.47,28.74,13.96,-40.01,forehand
8,-0.3,-1.06,0.62,-124.69,-28.5,267.27,27.25,5.73,-39.53,forehand
8,-1.84,0.49,0.67,-55.85,54.93,563.78,19.78,-11.38,-37.87,forehand
8,-1.37,3.03,0.37,46.26,81.6,215.03,9.44,-18.03,-36.07,forehand
8,-0.75,2.5,-0.33,9.28,-55.79,1.89,7.56,-16.39,-39.32,forehand
8,-0.36,0.7,0.79,-2.2,-54.02,-69.52,7.28,-16.13,-40.01,forehand
8,-0.13,0.22,1.19,8.12,6.29,-38.45,7.73,-16.27,-39.56,forehand
8,-0.2,0.49,0.61,20.57,28.5,-3.23,9.4,-16.72,-39.7,forehand
8,-0.34,0.78,0.5,9.03,25.63,0.98,10.4,-15.34,-41.27,forehand
8,-0.38,0.83,0.52,10.19,21.36,-5.25,10.6,-14.83,-40.47,forehand
8,-0.34,0.78,0.59,9.89,8.3,-9.34,11.45,-14.53,-41.49,forehand
8,-0.31,0.72,0.61,0.18,7.81,-12.27,12.39,-14.64,-40.94,forehand
8,-0.29,0.68,0.6,2.44,3.85,-8.61,12.41,-14.44,-41.27,forehand
8,-0.27,0.7,0.61,8.67,2.56,-10.62,12.96,-13.72,-40.61,forehand
8,-0.24,0.71,0.63,0.18,2.32,-8.06,12.99,-13.71,-40.47,forehand
9,0.48,-0.97,0.33,-2.2,-2.32,-4.94,5.9,53.52,-28.63,forehand
9,0.46,-0.8,0.41,-5.31,-5.98,8.54,6.07,53.48,-29.2,forehand
9,0.47,-0.78,0.44,2.56,-7.14,2.62,6.53,52.95,-28.41,forehand
9,0.48,-0.79,0.49,-4.7,-6.29,4.7,5.9,53.08,-28.67,forehand
9,0.48,-0.8,0.49,2.81,-4.03,3.3,5.64,53.61,-29.39,forehand
9,0.5,-0.78,0.48,-4.21,-2.87,6.16,5.85,53.87,-29.48,forehand
9,0.52,-0.86,0.44,0.24,-4.39,10.5,6.02,53.48,-30.07,forehand
9,0.56,-0.94,0.4,-6.65,-9.03,24.17,6.6,54.02,-29.25,forehand
9,0.59,-1.03,0.39,-8.97,-23.62,48.77,7.59,53.27,-30.58,forehand
9,0.56,-0.87,0.45,-8.12,-32.29,85.14,9.39,53.33,-32.32,forehand
9,0.54,-0.88,0.41,-14.77,-16.85,86.49,11.46,52.75,-32.39,forehand
9,0.53,-0.77,0.42,-13.55,-27.89,105.35,13.56,52.21,-31.53,forehand
9,0.55,-0.64,0.47,-38.88,-41.63,120.48,16.39,51.34,-32.69,forehand
9,0.57,-0.51,0.62,-36.68,-45.35,129.76,19.4,49.32,-33.73,forehand
9,0.59,-0.42,0.69,-44.19,-38.21,135.8,22.02,46.67,-34.28,forehand
9,0.51,-0.33,0.77,-30.27,-36.32,141.78,25.81,42.6,-33.72,forehand
9,0.39,-0.29,0.66,-41.63,-8.48,148.07,27.58,37.23,-33.75,forehand
9,0.29,-0.23,0.5,-80.38,-12.39,171.94,29.92,31.76,-34.17,forehand
9,0.12,0.04,0.64,-82.34,-31.8,200.2,30.53,23.38,-35.61,forehand
9,-0.12,0.1,0.66,-110.23,-3.54,222.29,31.08,15.83,-37.67,forehand
9,-0.48,0.44,0.48,-110.53,9.89,287.17,30.07,5.66,-36.01,forehand
9,-0.54,0.92,0.44,-147.52,8.18,225.4,27.91,-4.69,-33.72,forehand
9,-0.53,1.79,0.24,-64.33,3.3,188.05,23.21,-13.9,-31.42,forehand
9,-0.39,1.71,0.17,25.39,15.26,55.36,18.29,-18.4,-30.55,forehand
9,-0.3,1.16,0.27,33.02,-6.9,-16.97,17.3,-18.41,-31.23,forehand
9,-0.2,0.81,0.46,17.76,-13.98,-32.1,17.5,-17.26,-32.06,forehand
9,-0.13,0.73,0.54,11.35,-14.34,-14.28,18.32,-16.87,-33.48,forehand
9,-0.13,0.77,0.52,6.77,-10.31,-5.49,18.2,-16.92,-33.13,forehand
9,-0.12,0.81,0.6,11.11,-7.14,2.01,18.33,-16.31,-33.33,forehand
9,-0.11,0.85,0.55,16.54,3.48,-1.95,18.24,-16.16,-34.48,forehand
10,0.55,-0.75,0.75,-9.52,-30.03,-53.71,11.4,45.74,-38.51,forehand
10,0.55,-0.77,0.82,-0.55,-11.29,-44.56,9.08,46.29,-39,forehand
10,0.56,-0.77,0.77,3.3,-10.13,-22.09,7.81,46.18,-38.85,forehand
10,0.55,-0.69,0.85,-9.4,-4.09,-7.02,6.97,45.74,-40.11,forehand
10,0.5,-0.65,0.78,2.75,-1.22,0.79,6.91,45.7,-39.83,forehand
10,0.53,-0.69,0.73,-8.48,-2.38,12.82,6.84,46.41,-39.6,forehand
10,0.62,-0.87,0.76,-26.31,-10.68,32.9,6.63,46.17,-40.17,forehand
10,0.58,-0.92,0.93,-74.77,-5.92,80.87,7.17,45.85,-41.22,forehand
10,0.5,-0.82,0.9,-93.99,14.22,114.5,9.22,43.21,-42.83,forehand
10,0.36,-0.66,0.73,-81.85,25.63,152.28,12.26,40.22,-45.63,forehand
10,0.24,-0.33,0.66,-75.01,11.47,184.2,16.32,36.74,-45.72,forehand
10,0.16,-0.02,0.7,-78.98,15.38,198.18,20.43,31.96,-46.31,forehand
10,0.15,0.37,0.7,-65.98,23.93,194.89,23.86,25.93,-44.89,forehand
10,0.13,0.5,0.65,-69.7,28.87,177.86,25.76,18.77,-43.54,forehand
10,0.1,0.56,0.61,-60.06,32.65,160.95,27.38,12.06,-43.32,forehand
10,0.01,0.49,0.5,-59.51,37.17,149.54,26.78,6.31,-41.15,forehand
10,-0.27,0.25,0.37,-118.1,14.77,182.13,26,-0.01,-38.51,forehand
10,-0.51,0.76,0.38,-79.59,30.58,195.5,24.11,-6.76,-36.45,forehand
10,-0.57,1.29,0.16,-26.67,47.85,163.02,19.7,-13.45,-33.75,forehand
10,-0.4,1.62,0.15,-11.29,11.66,73.12,16.49,-17.36,-32.19,forehand
10,-0.28,1.16,0.22,40.95,-5.07,0.18,14.11,-18.36,-33.54,forehand
10,-0.27,0.85,0.52,37.6,-14.59,-5.31,13.49,-17.22,-35.71,forehand
10,-0.27,0.85,0.64,8.97,-2.01,-2.87,13.92,-17,-36.4,forehand
10,-0.26,0.93,0.49,6.04,7.32,-0.43,13.77,-16.72,-35.9,forehand
10,-0.24,0.87,0.44,8.3,2.32,-0.92,13.99,-16.6,-37.06,forehand
10,-0.23,0.81,0.49,6.84,2.38,1.1,14.53,-16.5,-36.65,forehand
10,-0.22,0.83,0.5,5.43,4.03,-0.92,14.71,-16.69,-37.01,forehand
10,-0.21,0.8,0.48,5.68,3.66,-4.21,15.28,-16.7,-36.89,forehand
10,-0.21,0.8,0.51,4.82,4.03,-3.36,15.2,-16.67,-36.65,forehand
10,-0.2,0.81,0.5,5.31,3.36,-3.78,15.45,-16.86,-37.44,forehand
11,0.46,-0.8,0.66,-9.28,-5.62,11.23,4.76,52.09,-30.69,forehand
11,0.44,-0.75,0.58,-0.55,-0.98,9.58,4.21,52.47,-32.09,forehand
11,0.44,-0.72,0.53,-2.5,-0.31,6.65,4.44,52.75,-31.97,forehand
11,0.44,-0.79,0.5,-3.97,-3.3,6.65,4.86,52.25,-31.3,forehand
